winners,losers,matchDate,isBagel,score,headStart
Zuw8wJhOlMiKg1h9WOgH;R0YcF7WNYUQolBtbGDKv,JUiZ9HOtW1eLsUTvtndZ;mdPC8NJKtK1sJtoo8Wae,2020-01-14T00:00:00.000Z,false,6:2,0
lc8spNis0olchFNm30nJ;GjwUVaV3jOYr8iVbXTJp,mdPC8NJKtK1sJtoo8Wae;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-01-14T00:00:00.000Z,false,6:4,-2
mdPC8NJKtK1sJtoo8Wae;GjwUVaV3jOYr8iVbXTJp,fC98k2vULrb9HCOpoHts;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-01-14T00:00:00.000Z,false,7:5,0
JUiZ9HOtW1eLsUTvtndZ;Zuw8wJhOlMiKg1h9WOgH,mdPC8NJKtK1sJtoo8Wae;R0YcF7WNYUQolBtbGDKv,2020-01-14T00:00:00.000Z,false,6:2,0
GjwUVaV3jOYr8iVbXTJp;JUiZ9HOtW1eLsUTvtndZ,mdPC8NJKtK1sJtoo8Wae;R0YcF7WNYUQolBtbGDKv,2020-01-14T00:00:00.000Z,false,6:4,-2
mdPC8NJKtK1sJtoo8Wae;fC98k2vULrb9HCOpoHts,GjwUVaV3jOYr8iVbXTJp;JUiZ9HOtW1eLsUTvtndZ,2020-01-08T00:00:00.000Z,false,6:4,0
fC98k2vULrb9HCOpoHts;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,R0YcF7WNYUQolBtbGDKv;GjwUVaV3jOYr8iVbXTJp,2020-01-08T00:00:00.000Z,false,6:3,0
fC98k2vULrb9HCOpoHts;JUiZ9HOtW1eLsUTvtndZ,FLDJnQNRuNhV6jPh6WOZQWPKHEB3;lc8spNis0olchFNm30nJ,2020-01-08T00:00:00.000Z,false,6:2,0
GjwUVaV3jOYr8iVbXTJp;JUiZ9HOtW1eLsUTvtndZ,fC98k2vULrb9HCOpoHts;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-01-08T00:00:00.000Z,false,6:3,1
FLDJnQNRuNhV6jPh6WOZQWPKHEB3;R0YcF7WNYUQolBtbGDKv,mdPC8NJKtK1sJtoo8Wae;lc8spNis0olchFNm30nJ,2020-01-08T00:00:00.000Z,false,6:2,0
GjwUVaV3jOYr8iVbXTJp;R0YcF7WNYUQolBtbGDKv,FLDJnQNRuNhV6jPh6WOZQWPKHEB3;mdPC8NJKtK1sJtoo8Wae,2020-01-08T00:00:00.000Z,false,7:6,0
R0YcF7WNYUQolBtbGDKv;GjwUVaV3jOYr8iVbXTJp,JUiZ9HOtW1eLsUTvtndZ;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-01-01T00:00:00.000Z,false,6:4,-1
GjwUVaV3jOYr8iVbXTJp;JUiZ9HOtW1eLsUTvtndZ,Zuw8wJhOlMiKg1h9WOgH;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-01-01T00:00:00.000Z,false,6:3,0.15
GjwUVaV3jOYr8iVbXTJp;R0YcF7WNYUQolBtbGDKv,Zuw8wJhOlMiKg1h9WOgH;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-01-01T00:00:00.000Z,false,6:2,0.15
GjwUVaV3jOYr8iVbXTJp;Zuw8wJhOlMiKg1h9WOgH,JUiZ9HOtW1eLsUTvtndZ;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-01-01T00:00:00.000Z,false,7:6,-1.15
GjwUVaV3jOYr8iVbXTJp;R0YcF7WNYUQolBtbGDKv,Zuw8wJhOlMiKg1h9WOgH;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-01-01T00:00:00.000Z,false,7:5,undefined
